timestamp,twelvedata,finage,yahoo_finance
1631384890,598.99000,598.99,597.54
1631384957,598.99000,598.99,597.54
1631385022,598.99000,598.99,597.54
1631385086,598.99000,598.99,597.54
1631385150,598.99000,598.99,597.54
1631385214,598.99000,598.99,597.54
1631385279,598.99000,598.99,597.54
1631385343,598.99000,598.99,597.54
1631385407,598.99000,598.99,597.54
1631385471,598.99000,598.99,597.54
1631385535,598.99000,598.99,597.54
1631385599,598.99000,598.99,597.54
1631385664,598.99000,598.99,597.54
1631385728,598.99000,598.99,597.54
1631385792,598.99000,598.99,597.54
1631385856,598.99000,598.99,597.54
1631385920,598.99000,598.99,597.54
1631385984,598.99000,598.99,597.54
1631386048,598.99000,598.99,597.54
1631386112,598.99000,598.99,597.54
1631386176,598.99000,598.99,597.54
1631386240,598.99000,598.99,597.54
1631386305,598.99000,598.99,597.54
1631386369,598.99000,598.99,597.54
1631386433,598.99000,598.99,597.54
1631386497,598.99000,598.99,597.54
1631386561,598.99000,598.99,597.54
1631386625,598.99000,598.99,597.54
1631386690,598.99000,598.99,597.54
1631386754,598.99000,598.99,597.54
1631386818,598.99000,598.99,597.54
1631386882,598.99000,598.99,597.54
1631386946,598.99000,598.99,597.54
1631387010,598.99000,598.99,597.54
1631387074,598.99000,598.99,597.54
1631387138,598.99000,598.99,597.54
1631387203,598.99000,598.99,597.54
1631387268,598.99000,598.99,597.54
1631387332,598.99000,598.99,597.54
1631387396,598.99000,598.99,597.54
1631387460,598.99000,598.99,597.54
1631387524,598.99000,598.99,597.54
1631387588,598.99000,598.99,597.54
1631387653,598.99000,598.99,597.54
1631387717,598.99000,598.99,597.54
1631387782,598.99000,598.99,597.54
1631387846,598.99000,598.99,597.54
1631387910,598.99000,598.99,597.54
1631387975,598.99000,598.99,597.54
1631388041,598.99000,598.99,597.54
1631388106,598.99000,598.99,597.54
1631388171,598.99000,598.99,597.54
1631388235,598.99000,598.99,597.54
1631388300,598.99000,598.99,597.54
1631388364,598.99000,598.99,597.54
1631388429,598.99000,598.99,597.54
1631388493,598.99000,598.99,597.54
1631388557,598.99000,598.99,597.54
1631388622,598.99000,598.99,597.54
1631388686,598.99000,598.99,597.54
1631388750,598.99000,598.99,597.54
1631388814,598.99000,598.99,597.54
1631388879,598.99000,598.99,597.54
1631388943,598.99000,598.99,597.54
1631389007,598.99000,598.99,597.54
1631389072,598.99000,598.99,597.54
1631389136,598.99000,598.99,597.54
1631389201,598.99000,598.99,597.54
1631389265,598.99000,598.99,597.54
1631389330,598.99000,598.99,597.54
1631389394,598.99000,598.99,597.54
1631389458,598.99000,598.99,597.54
1631389522,598.99000,598.99,597.54
1631389587,598.99000,598.99,597.54
1631389651,598.99000,598.99,597.54
1631389716,598.99000,598.99,597.54
1631389780,598.99000,598.99,597.54
1631389844,598.99000,598.99,597.54
1631389908,598.99000,598.99,597.54
1631389973,598.99000,598.99,597.54
1631390037,598.99000,598.99,597.54
1631390101,598.99000,598.99,597.54
1631390166,598.99000,598.99,597.54
1631390230,598.99000,598.99,597.54
1631390294,598.99000,598.99,597.54
1631390359,598.99000,598.99,597.54
1631390423,598.99000,598.99,597.54
1631390488,598.99000,598.99,597.54
1631390552,598.99000,598.99,597.54
1631390616,598.99000,598.99,597.54
1631390681,598.99000,598.99,597.54
1631390745,598.99000,598.99,597.54
1631390809,598.99000,598.99,597.54
1631390873,598.99000,598.99,597.54
1631390937,598.99000,598.99,597.54
1631391001,598.99000,598.99,597.54
1631391066,598.99000,598.99,597.54
1631391130,598.99000,598.99,597.54
1631391194,598.99000,598.99,597.54
1631391259,598.99000,598.99,597.54
1631391323,598.99000,598.99,597.54
1631391387,598.99000,598.99,597.54
1631391451,598.99000,598.99,597.54
