timestamp,twelvedata,finage,yahoo_finance
1631384890,445.40000,445.44,448.98
1631384957,445.40000,445.44,448.98
1631385022,445.40000,445.44,448.98
1631385086,445.40000,445.44,448.98
1631385150,445.40000,445.44,448.98
1631385214,445.40000,445.44,448.98
1631385279,445.40000,445.44,448.98
1631385343,445.40000,445.44,448.98
1631385407,445.40000,445.44,448.98
1631385471,445.40000,445.44,448.98
1631385535,445.40000,445.44,448.98
1631385599,445.40000,445.44,448.98
1631385664,445.40000,445.44,448.98
1631385728,445.40000,445.44,448.98
1631385792,445.40000,445.44,448.98
1631385856,445.40000,445.44,448.98
1631385920,445.40000,445.44,448.98
1631385984,445.40000,445.44,448.98
1631386048,445.40000,445.44,448.98
1631386112,445.40000,445.44,448.98
1631386176,445.40000,445.44,448.98
1631386240,445.40000,445.44,448.98
1631386305,445.40000,445.44,448.98
1631386369,445.40000,445.44,448.98
1631386433,445.40000,445.44,448.98
1631386497,445.40000,445.44,448.98
1631386561,445.40000,445.44,448.98
1631386625,445.40000,445.44,448.98
1631386690,445.40000,445.44,448.98
1631386754,445.40000,445.44,448.98
1631386818,445.40000,445.44,448.98
1631386882,445.40000,445.44,448.98
1631386946,445.40000,445.44,448.98
1631387010,445.40000,445.44,448.98
1631387074,445.40000,445.44,448.98
1631387138,445.40000,445.44,448.98
1631387203,445.40000,445.44,448.98
1631387268,445.40000,445.44,448.98
1631387332,445.40000,445.44,448.98
1631387396,445.40000,445.44,448.98
1631387460,445.40000,445.44,448.98
1631387524,445.40000,445.44,448.98
1631387588,445.40000,445.44,448.98
1631387653,445.40000,445.44,448.98
1631387717,445.40000,445.44,448.98
1631387782,445.40000,445.44,448.98
1631387846,445.40000,445.44,448.98
1631387910,445.40000,445.44,448.98
1631387975,445.40000,445.44,448.98
1631388041,445.40000,445.44,448.98
1631388106,445.40000,445.44,448.98
1631388171,445.40000,445.44,448.98
1631388235,445.40000,445.44,448.98
1631388300,445.40000,445.44,448.98
1631388364,445.40000,445.44,448.98
1631388429,445.40000,445.44,448.98
1631388493,445.40000,445.44,448.98
1631388557,445.40000,445.44,448.98
1631388622,445.40000,445.44,448.98
1631388686,445.40000,445.44,448.98
1631388750,445.40000,445.44,448.98
1631388814,445.40000,445.44,448.98
1631388879,445.40000,445.44,448.98
1631388943,445.40000,445.44,448.98
1631389007,445.40000,445.44,448.98
1631389072,445.40000,445.44,448.98
1631389136,445.40000,445.44,448.98
1631389201,445.40000,445.44,448.98
1631389265,445.40000,445.44,448.98
1631389330,445.40000,445.44,448.98
1631389394,445.40000,445.44,448.98
1631389458,445.40000,445.44,448.98
1631389522,445.40000,445.44,448.98
1631389587,445.40000,445.44,448.98
1631389651,445.40000,445.44,448.98
1631389716,445.40000,445.44,448.98
1631389780,445.40000,445.44,448.98
1631389844,445.40000,445.44,448.98
1631389908,445.40000,445.44,448.98
1631389973,445.40000,445.44,448.98
1631390037,445.40000,445.44,448.98
1631390101,445.40000,445.44,448.98
1631390166,445.40000,445.44,448.98
1631390230,445.40000,445.44,448.98
1631390294,445.40000,445.44,448.98
1631390359,445.40000,445.44,448.98
1631390423,445.40000,445.44,448.98
1631390488,445.40000,445.44,448.98
1631390552,445.40000,445.44,448.98
1631390616,445.40000,445.44,448.98
1631390681,445.40000,445.44,448.98
1631390745,445.40000,445.44,448.98
1631390809,445.40000,445.44,448.98
1631390873,445.40000,445.44,448.98
1631390937,445.40000,445.44,448.98
1631391001,445.40000,445.44,448.98
1631391066,445.40000,445.44,448.98
1631391130,445.40000,445.44,448.98
1631391194,445.40000,445.44,448.98
1631391259,445.40000,445.44,448.98
1631391323,445.40000,445.44,448.98
1631391387,445.40000,445.44,448.98
1631391451,445.40000,445.44,448.98
